Count,Index,DialogID,Dialog,Agreed emotion (2/3 vote),Worker 1 answer,Worker 2 answer,Worker 3 answer
16,0.9-8756,22496,"Cognac ?
Thank you , but I 'm not on the job .
Well , we are in service , so it 's fine . For the guardians of our Motherland !",Faithful,Content,Faithful,Faithful
17,0.8-1031,1027612,"Thank god .
What the hell have you people screwed up now ?
Us ? You 're on call for trauma . What took you so long ? Who the hell are you ?
Your response time was supposed to be 20 minutes . It wouldn 't have made a difference . If you guys had ordered a head C.T. , you would have called me sooner .
What am I supposed to do about that ?
We needed to control . He was bleeding into his belly . He was stable . You had the time . Now I 've got to work like hell to save this man , thanks to you . There 's no point . You were supposed to be here in 20 minutes , not an hour and a half . We had a chance . He had a freaking chance . Get out of my O.R.",Furious,Furious,Furious,Angry
18,0.9-5386,14406,"Vincent ?
Thank God I found you !",Grateful,Grateful,Grateful,Grateful
19,0.9-14520,37347,"Does Bill know you 're here ? Sabitha ?
I didn 't tell them .",-,Embarrassed,Ashamed,Guilty
20,0.9-9591,24378,"You still think the English favour us ?
I try to be optimistic . My wife keeps telling me that everything looks black to me .",Hopeful,Hopeful,Hopeful,Hopeful
21,0.9-23811,61056,The third and final dish we wanna bring up here was delivered by a home cook that today really surprised us . So far this person has consistently been in the middle of the pack . Please step forward ...,Impressed,Impressed,Impressed,Surprised
22,0.9-3650,9755,I wish it was me . But someone has to coordinate . You are lucky .,Jealous,Jealous,Jealous,Neutral
23,0.9-8880,22738,"Oh , I got accepted by Austria University . We don 't have to like the same things .
Why did that happen ?
I like today . I 'm so happy right now . I don 't want anything to change . I wanna look for peacocks every day with you .",Content,Content,Content,Joyful
24,0.9-6865,18318,We haven 't got anyone .,Lonely,Apprehensive,Lonely,Lonely
25,0.9-20948,54048,Uh ... We were just watching this movie that we made last year .,-,Neutral,Nostalgic,Sentimental
26,0.9-11771,30227,"She was really lively and wonderful . My heart had never fluttered like that before .
Go prepare for the meal !",Anticipating,Anticipating,Anticipating,Prepared
27,0.9-12090,31035,"Krissi .
Finally . I won . I 'm feeling really proud . I kicked ass today . And my kid would be proud of me .",Proud,Proud,Proud,Proud
28,0.9-172508,441137,"As she was dying , she mumbled Why have they not found the murderer ?
It makes me sad . Soon after that , she was gone .",Sad,Sad,Sad,Sad
29,0.9-13473,34916,"Isn 't it beautiful ?
I bought it today for mother 's funeral . She would had loved it .",Sentimental,Sentimental,Sentimental,Sentimental
30,0.9-3728,9905,I can 't believe she wants to spend so much time with me .,Surprised,Surprised,Surprised,Surprised
31,0.9-85357,218884,I was scared . I was petrified . I had came home with Kyle .,Terrified,Terrified,Terrified,Terrified
32,0.9-1558,4268,"Who has access to the chemical stores ?
We don 't keep things under lock and key here . Ours is a community of trust .",Trusting,Trusting,Neutral,Trusting
33,0.9-3501,9277,"Will you get it fixed ?
Yeah , after the missing tooth .",Acknowledging,Agreeing,Acknowledging,Acknowledging
34,0.9-480,1267,"How are you finding the new model , James ?
It 's incredible .",Impressed,Impressed,Impressed,Impressed
35,0.9-33350,84608,"Thank you very much , and thank you for coming .
I hope you 're having a wonderful time .",Joyful,Joyful,Joyful,Encouraging
36,0.9-29041,73597,"You went to see Emily .
Damn right , I did . You could have called me first .
She called me . She was very upset . It was kind of a dramatic stunt to pull on a woman who 's already in a great deal of emotional pain . I don 't understand your thinking . I 'm trying to determine her state of mind so I can chart the best course of treatment .
Treatment "" ?
You gave an amytal interview to a woman who 's been declared not guilty .
I hope you learned something .",-,Consoling,Encouraging,Sarcastic (Other)
37,0.9-508,1307,I 'm sorry ... that she is sick .,Sympathizing,Sympathizing,Questioning,Sympathizing
38,0.9-16749,43323,"The flowers are too much , aren 't they ?
Maybe you should give them to her .",Suggesting,Suggesting,Caring,Suggesting
39,0.9-19786,51387,"What do you want , Rabbit ?",Questioning,Questioning,Hopeful,Questioning
40,0.9-2789,7369,"Merry Christmas , Baltasar .",Wishing,Wishing,Consoling,Wishing
41,0.9-16157,41715,"And who did this amazing restoration ?
Well , my dad 's been working on it for a while .",Neutral,Neutral,Acknowledging,Neutral
42,0.9-321556,829835,"Something wrong , Nick ?
These men were all slaughtered in a cartel hit last week . That paper shows cornhusks on the ground . It 's all over them . That 's the same trace that was found on Ana Ortiz .
Dr. Blanco ?
I think there 's been a cross-contamination of trace between the bodies .",Apprehensive,Apprehensive,Afraid,Apprehensive
43,0.8-73,61939,"Something like that ?
You 're making me feel awkward , man .
Shut up , idiot .
The hell ? Loser .
That hurts .
I don 't want a loser calling me a loser !",Annoyed,Furious,Annoyed,Annoyed
44,0.9-14110,36475,"This has been happening several times now . By calling VimaIa alone and talking . It seems that this disease is that one .
Why can 't we play with this guy ?
VimaIa also behaved with Anand as if she is also loving Anand . Anand was under our control more rapidly that we thought . One day , Lakshmi and VimaIa had gone and met Issac sir .
Sir , it is really a nuisance Anand is always after VimaIa !",Annoyed,Annoyed,Annoyed,Annoyed
45,0.9-64493,165074,We 're waiting in anticipation .,Anticipating,Anticipating,Anxious,Anticipating
46,0.8-43,39883,I was so nervous for a second . So was I.,Anxious,Anxious,Apprehensive,Anxious
47,0.9-36092,91090,Tonight Buddha will ... host religious rituals for his dead son This is our last chance But I 'm not sure if he 'd show up,Apprehensive,Apprehensive,Anxious,Apprehensive
48,0.9-8871,22723,"Fail in love . He didn 't come .
I 'm a failed slut . I suck .",Embarrassed,Guilty,Embarrassed,Embarrassed
49,0.9-72180,185107,Yes ... I got your messages . The community is grieving . It 's my job to comfort them .,Caring,Faithful,Caring,Caring
50,0.9-44683,113820,"Are you okay , dad ?
I 'm very good .",Confident,Confident,Confident,Confident
51,0.9-14364,36908,"Have you no shame ?
I 'm not going to stop living , the situation is as it is .",Content,Content,Content,Content
52,0.9-37568,94988,"Maybe we should go .
What need have we with Helheim ?
He said it himself . If he doesn 't return by sunrise ...
Yeah , I know what he said . But a ship stays on course , and so do you .
I say we leave ! Who 's with me ?
He 's been in there the whole night . He 's probably dead by now .
How many more of us do you want killed ? BERNARD : Coward .
Where is your honour ?
You 're a killer of women and children . What do you know of honour ?
All my life , I was a farmer . But then the raiders came . Blood of the same Geat cowards we killed yesterday . Burned down my farm , my father 's home , killed my wife and my children . Carved me hollow .",Devastated,Devastated,Devastated,Devastated
53,0.9-44181,112421,"Oh , he 's turning back . What ?
I gotta let down .",Disappointed,Disappointed,Disappointed,Disappointed
54,0.9-22892,58842,That 's what I found in the trash .,Disgusted,Disgusted,Disgusted,Neutral (Other)
55,0.9-28404,71603,"Norma ? Don 't you ever have to call home ?
Only when I need bail money .
Shit , I forgot to tell you what happened last night . So I ... God , I went out to dinner with Danny and Kate . This , like , obscure Italian place in the village , and the waiter turned out to be him .",Surprised,Surprised,Surprised,Surprised
56,0.9-5081,13632,"Hey ! That doesn 't mean you should blatantly stare at it !
I have a decent chest size . But my face is not that great . Ji Young , you ... Stop it . Work hard .
Going up !",-,Anticipating,Excited,Joyful
57,0.9-32990,83531,"Some friends want to kill you , but I will defend it . As always .",Faithful,Faithful,Confident,Faithful
58,0.8-1826,1843103,"They deserve a good hiding .
Pretending . Pretending . Pretending to perfection . Even if I 'm over there you 'll still get knocked out .
What a joke ! What a joke ! You are no threat at all . If you want a fight , you 're going to get one with me . One slap ... and a fall . If you make me angry , you will be in trouble . You look like a woman . I am your mother .
Let me teach you a lesson . Do you think I 'm scared ?
Stop talking nonsense ! You 're barking like a mad dog .
I am so angry . You deserve a good hiding .",Angry,Angry,Angry,Angry
59,0.9-8179,21244,"I don 't know whether to thank you .
Give me thanks when this is all finished . If we 're still alive .",Hopeful,Hopeful,Hopeful,Hopeful
60,0.9-50759,130360,"Hey . Yo , Alfredo sauce . Made it from scratch . I thought we had an agreement about the other night .
And now , suddenly ... flowers ? Delivered to me in front of everyone ? !
That is exactly what I was trying to avoid .
I don 't know , m-maybe this is my fault . Maybe I 'm-I 'm missing something here . But ... what exactly happened to "" This is our thing . Nobody else 's ?
I didn 't send them .",Neutral,Neutral,Neutral,Neutral
61,0.9-14926,38417,"I want one , like that !
A Cycle !
My biggest wish is to reach home at the earliest .",-,Hopeful,Anticipating,Faithful
62,0.9-30945,78360,Look at it . A stream has done this .,Surprised,Surprised,Surprised,Impressed
63,0.9-70064,180284,Your fiance has more money than sense .,Annoyed,Apprehensive,Annoyed,Annoyed
64,0.9-49412,127060,Today is my happiest day .,Excited,Excited,Content,Excited
65,0.9-10542,27050,No one !,-,Angry,Neutral (Other),Lonely
66,0.9-31518,79674,"How 's the wing ?
Throbbing .
You all good ?
Jefferson was my rival high school . Got dragged to a few football games here back in the day . It must bring back some memories .",Nostalgic,Nostalgic,Nostalgic,Neutral
67,0.9-32434,82145,Make sure we 're fueled and ready . I want to be out of here before the tide shifts .,Anticipating,Anxious,Anticipating,Anticipating
68,0.9-12520,32204,"Louis is here , looking for you .
I finished school . I got my masters in political science .",Proud,Proud,Proud,Impressed
69,0.9-176873,452138,"Like , whoo !
I 'm leaving . I am leaving . really--it was really good .",Sentimental,Sentimental,Sentimental,Sentimental
70,0.9-24641,62990,"I can not stand happy endings .
Then I get very emotional .",Sentimental,Sentimental,Sentimental,Sentimental
71,0.9-19378,50212,"Michael .
I can 't believe you came !",Surprised,Surprised,Surprised,Impressed
72,0.9-129779,332721,One Screaming Dragon helicopter .,Terrified,Terrified,Terrified,Devastated
73,0.9-1738,4702,"'In order to trust you , I need to know who you are . '",Trusting,Trusting,Trusting,Agreeing
74,0.9-17453,45209,I Know you are .,Confident,Agreeing,Confident,Confident
75,0.9-5416,14470,That set 's cool .,Encouraging,Acknowledging,Encouraging,Encouraging
76,0.9-42139,107332,"If you are here to see Vikram , he 's not home . He 's at the studio . A rich lover has gifted his new girlfriend an old key .
Or is it the key to a treasure ?
It 's none of your business . You may leave . People don 't behave in this manner , not even with strangers at their door . The funny thing about time is ... that it always keeps changing . Listen ... You listen to me .
I hope you like my gift .",Hopeful,Hopeful,Hopeful,Consoling
77,0.9-55002,141582,"Koichi 's a doctor , so he can 't just up and leave his patients . But the doctor here is a friend of his .
Don 't worry . Shigeko 's coming soon . They 'll all be here soon .
You 'll get better .",Encouraging,Encouraging,Encouraging,Encouraging
78,0.9-11810,30315,"Why the hell are they all lovey-dovey ?
I 'm so sorry this happened , Koji .",Sympathizing,Sympathizing,Sympathizing,Sympathizing
79,0.9-45329,115417,"What 're you doing there ?
Let 's us take a look this time .",Suggesting,Suggesting,Suggesting,Suggesting
80,0.9-20378,52838,"Right , I have to go .
Can 't you stay a while ?",Questioning,Suggesting,Questioning,Questioning
81,0.9-11126,28618,"Will you all be okay ?
Goodbye , Sascha .",Wishing,Wishing,I don't know (Other),Wishing
82,0.9-17033,44107,"Let me lead you .
I don 't know what that means but ... Dude !",Neutral,Apprehensive (Other),Neutral,Neutral
83,0.9-551916,1428437,"Can you do me a favor ; Eungyo ?
No , I think I have the flu .",-,Neutral (Other),Apprehensive,Anxious
84,0.8-158,128028,"Your phone is ringing .
Hey , Gunther !
Great news . Just came from the announcement . I 'm going to be Press Secretary . It 's going to be a great night , buddy .
Gunther , we need to talk . You cracked your case and I got my promotion .
Gunther , something very bad is happening .
To us , buddy !
Your phone is still ringing .
Gunther , I 've got a fucking situation here ; I need your help with .
What 's the story with this Roscoe ?
This is the felony weapon stretch , my friend .
What the fuck you mean take me in ?
Stand up !
Are you going to take me in ?
It 's fucking bullshit , Gunther !",Furious,Furious,Furious,Furious
85,0.9-14865,38290,"My God , what is this ? Oh ! Who is this ?
Hey don 't scream like this !
Because of your noise , Mani can 't hear my calling .",Annoyed,Annoyed,Annoyed,Angry
86,0.9-69142,177316,"And I 'm just sitting there , and all of a sudden I feel this movement ... And my heart starts racing , and I 'm like , what is this ?
I 'm expecting it to be the face .",Anticipating,Anticipating,Anticipating,Hopeful
87,0.8-233,205959,"You delivered him on time ?
I 'm just so nervous .",Anxious,Anxious,Anxious,Anxious
88,0.9-38001,96007,I don 't really want to go back there tonight .,-,Apprehensive,Afraid,Terrified
89,0.9-11178,28726,I can 't believe I let you leave the other day without paying you . That was insensitive of me .,-,Guilty,Ashamed,Embarrassed
90,0.9-99963,256358,"Aren 't you feeling well ?
I 've been so worried about you .",Caring,Caring,Caring,Caring
91,0.9-56502,144880,"I 'm so sorry to miss your arrival . FARMER : That 's all right , m 'lady . We 've not begun to eat . Come and sit here .
I 'll manage very well at the end . Carson can find me a chair .",Confident,Confident,Prepared,Confident
92,0.9-14535,37388,"It 's Christmas . Don 't you want to get up ?
I 'm fine here .",Content,Content,Content,Content
93,0.9-39548,100190,"What should I celebrate about ?
My parents were killed today .",Devastated,Devastated,Devastated,Sad
94,0.9-54216,139704,"You 're right , Peter .
I was really disappointed .",Disappointed,Disappointed,Disappointed,Disappointed
95,0.9-25365,64617,"My old spaceship 's in here , Stan . I 'll just fire it up and place a call home .
There she is . Broken down , filthy , cockpit full of mouse turds . The SS Bonnie Raitt . Poor thing .",Disgusted,Disgusted,Sad,Disgusted
96,0.9-31942,80942,"Wow . This looks like Charlie Sheen 's house .
Alan .
Alan , wake up .
Pepperdine is not a good school .
Why am I face down on the back of the sofa in my underwear ?",Embarrassed,Ashamed,Embarrassed,Embarrassed
97,0.9-14668,37783,"I 'm psyched to play it on the radio . This is a massive , monster hit . It feels good .",Excited,Excited,Joyful,Excited
98,0.9-42213,107462,"Alec , what are you doing ?
I 'm protecting my family . And our legacy .",-,Confident (Other),Caring,Faithful
99,0.8-2358,2363951,"That is the sweetest baby I 've ever seen in my whole life . I can 't believe how beautiful . Oh . He 's gonna grow up all alone . Just the way we did .
I hate that . It makes me so angry . We have a lot in common , you and I. Your family abandoned you , same thing happened to me . And although I try to pretend it doesn 't bother me that I didn 't grow up here , that my father is closer to his other children than me , it does bother me .",Angry,Angry,Furious,Angry
100,0.9-9389,23865,"Emma !
Mads ?
Time-out .
Thank God I found you .",Grateful,Grateful,Grateful,Grateful
101,0.9-56096,143966,"Can 't find my phone . It 's not in your bag ?
No . I think I dropped it during the fight . We 'll call the office and see if anyone turned it in .
I think someone picked it up . That 's all I need , more people looking at my stuff .
Honey , where did those ... underwear pictures come from ?
I took them .",Ashamed,Ashamed,Ashamed,Guilty
102,0.9-15123,39003,"I AM PLEASED YOU CHANGED YOUR MIND . IT WAS A GOOD TIME FOR ME TO COME .
SHIKEISYU . WAKE FROM DEATH , RETURN TO LIFE . I HOPE SO SENPAI .",Hopeful,Hopeful,Hopeful,Hopeful
103,0.9-39377,99821,Look at it . A stream has done this .,Impressed,Neutral (Other),Impressed,Impressed
104,0.9-75493,194035,"I think I 'm done now .
Everybody take five , except Oscar . Does anybody have a ...",-,Neutral (Other),Jealous,Disgusted
105,0.9-61062,156201,Wife ... Do you know how happy I 've been lately ?,Joyful,Joyful,Content,Joyful
106,0.9-18303,47096,"Hunny , can you come up on the bed ?
I don 't like it all alone .",Lonely,Lonely,Lonely,Lonely
107,0.9-36604,92029,"Stay on here for a couple of miles .
D 'you fancy a bit of music ?
Put the radio on , mate . Bloody hell , takes me back . Used to slow dance to that at the Roxy .",Nostalgic,Nostalgic,Nostalgic,Nostalgic
108,0.9-69673,179060,"Rise and shine , old man !
Get ready for school .",Prepared,Neutral (Other),Prepared,Prepared
109,0.9-14685,37934,Mission accomplished for the team .,Proud,Proud,Proud,Proud
110,0.9-195514,501702,He 's dying bit by bit .,Sad,Sad,Sad,Sad
111,0.9-28970,73499,"Donald 's an idiot . Don 't pay him any mind .
Those gifts , they 're like love-letters . They help me remember nights when somebody made me feel beautiful .",Sentimental,Sentimental,Sentimental,Sentimental
112,0.9-28529,72001,"Get dressed . Where are we going ?
It 's a surprise .",Surprised,Neutral,Surprised,Surprised
113,0.9-172645,441535,"Baphomet , Beelzebub , Belial , Samael , poison of God , Iblis , Shaytan , Leviathan ... Captain , we must leave .
Iblis !
Iblis .
Leviathan ! Captain ! I heard it screaming as it flew through the sky !",Terrified,Surprised (Other),Terrified,Terrified
114,0.9-48884,125555,"I could use a friend here Calvin .
Someone you can trust .",Trusting,Agreeing (Other),Trusting,Trusting
115,0.9-28801,72883,"Ribs .
So it 's what they call me ?
I understand that yours is Spud , because you ...",Agreeing,Agreeing,Agreeing,Agreeing
116,0.9-11111,28557,You guys sure are entertaining !,Encouraging,Encouraging,Encouraging,Acknowledging
117,0.9-49742,127777,I hope you like them .,-,Hopeful (Other),Acknowledging,Encouraging
118,0.9-58899,150583,"So that 's that , then . We 're basically stuck with these fuckers .
Looks like it . But you know , it 'll get better .",Consoling,Consoling,Consoling,Consoling
119,0.9-13553,35121,"How could you believe such a thing ?
Forgive me , Tomas .",Ashamed,Ashamed,Sympathizing,Ashamed
120,0.9-52934,136144,"Looking forward to going home ?
Maybe we 'll visit you in Poland .",Hopeful,Hopeful,Hopeful,Hopeful
121,0.9-21605,55788,Are you still worried about the risk ?,Questioning,Questioning,Suggesting,Questioning
122,0.9-31232,78920,"Good night , poppet .",Wishing,Wishing,Acknowledging,Wishing
123,0.9-20927,53985,That was fast .,Acknowledging,Neutral,Acknowledging,Acknowledging
124,0.9-602212,1555069,"Mr. McCall ? Faster , Aaron . Please , be less dumb , but be quicker about it . I got a splitting headache today . Are you sick ?
No , I think I 'm having an allergic reaction or something .",Apprehensive,Suggesting (Other),Apprehensive,Apprehensive
125,0.8-170,142688,"Haven 't you seen "" Gladiator "" ?
Fucking fight !",Furious,Furious,Furious,Furious
126,0.9-24125,61816,"Back in elementary school , there was a girl who was always following me around . During a field trip , she was extremely annoying .",Annoyed,Annoyed,Annoyed,Annoyed
127,0.9-83260,214125,"I 'm here for 30 minutes , I 'm waiting for you to say .",Anticipating,Anticipating,Anticipating,Hopeful
128,0.8-350,318518,I 've got a maths test tomorrow . I 'm stressed out .,Anxious,Anxious,Anxious,Anxious
129,0.9-43493,110684,"Call me over-cautious , but I think a rampaging rage monster should have an off-switch .",Suggesting,Afraid,Suggesting,Suggesting
130,0.9-13928,36007,"And so I woke up the next morning , hung-over , ashamed of myself , and not realising it was the day that would change my life forever . Get up , stupid .",Ashamed,Ashamed,Ashamed,Embarrassed
131,0.9-105542,270929,I came to give him some broth,Caring,Caring,Caring,Caring
132,0.9-61346,157051,"It 's looking good !
I can win .",Confident,Confident,Confident,Confident
133,0.9-32690,82784,This is all I 've got .,Content,Neutral (Other),Content,Content
134,0.9-55698,143039,I 've been building this place for three years . And now my operation is burned . So build another .,Devastated,Disappointed,Devastated,Devastated
135,0.9-80854,208119,"Nathan , do you hear those drums ?
That boy next door is at it again . I need my pot .
Carol , you hit the pot ? !
Oh , yeah . I hit it . I hit it hard . It 's the only way I can cope with the noise coming from next door .
Well , that 's disappointing . Thought I had just found my new planetarium buddy .",Disappointed,Disappointed,Disappointed,Disappointed
136,0.9-109131,280265,It 's so disgusting . I love it !,-,Joyful (Other),Disgusted,excited (Other)
137,0.9-38198,96583,"Are you gonna ake off your clothes ?
What is this ? I 'm wearing two shirts .",-,Anxious,Ashamed,confused (Other)
138,0.9-33558,84990,"Deputy superintendent still .
We know justice is slow .
Yeah . Since when do lawyers arrive before the doctor ?
I have a ringside seat .",Anticipating,Anticipating,Anticipating,Excited
139,0.9-45525,115953,It 's my marriage .,Confident,Confident,Confident,Confident
140,0.8-2993,2966967,I can 't believe our government would set up Bart like that . I 'm very angry at the State Department right now .,Angry,Angry,Angry,Angry
141,0.9-27859,70246,I 'm glad that we play music in this place .,-,Joyful,Proud,Grateful
142,0.9-59963,153541,"Were there raised voices ?
Yeah , course there was . There was a riot .
Did you hear Bea Smith or Mrs Jackson ?
No . There was blood everywhere . I reckon Mrs Jackson had been there a while .
You say that because of the amount of blood on the floor ?
Yeah . Stand up . Open your mouth .
OK , tell us what happened . You were chasing Kaiya ?
I was chasing her . I was afraid something might happen to her . Um ... I was running and then I was on the ground .
Kneeling over Mrs Jackson 's body ?
I know how this looks bad . I didn 't do it .
24 hours earlier , Mrs Jackson slotted you for trafficking . Must have been pretty angry .
No . We all know what happens when you get angry , Bea . You lose control . Like that night with your husband . My husband tried to kill himself . The fact remains you 're the one with Mrs Jackson 's blood on your hands . It wasn 't me . Perhaps it was a spur of the moment thing ?
You saw Mrs Jackson . You had a weapon . In the commotion , you stabbed her .
I didn 't kill her . It wasn 't me .",-,Neutral (Other),Guilty,denial (Other)
143,0.9-39629,100429,Mr. Kudo . That tunnel ... it 's gonna be completed soon . Then I 'm thinking of ... quitting my job as a laborer and starting a store down in town .,-,Hopeful,Anticipating,Confident
144,0.9-46724,119486,I 'm impressed .,Impressed,Impressed,Impressed,Impressed
145,0.9-112912,289739,After the foolish mafia boss story Flora saw me as less than zero . I began to envy my friends who fell in love all the time .,Jealous,Jealous,Jealous,Jealous
146,0.9-70359,180830,"jingle bells ... and such .
Today is a wonderful Christmas !",Joyful,Joyful,Joyful,Joyful
147,0.9-20513,53151,"I came alone , Joe .",Lonely,Trusting,Lonely,Lonely
148,0.9-45673,116537,"8K a stone . I have to raise the funds , get them certified , then find a buyer .
When do I collect ? 72 hours .
Almost like old times .",Sentimental,Sentimental,Sentimental,Nostalgic
149,0.9-103993,266647,"We 're here . What do you got ?
We 've seen a few people coming in and out . Esu is down the block , ready to move on our signal .",Prepared,Prepared,Prepared,Prepared
150,0.9-17726,45848,"Hey . Looks like Joel 's writer 's block is finally broken .
Yeah , he 's hardly looked up for two hours . Not even when busty Sally dropped her pen .
Hmm , so I guess he didn 't need to relax . And he didn 't need to work through it . He just needed a grand adventure . We were both wrong . Apology accepted .
What ? That was not an apology !
It feels good to be a winner .",Proud,Proud,Excited,Proud
151,0.9-234183,602393,"What 's the word on Maranzano ?
Is he suspicious ?
You know how he is . Plays it close to the vest .
Did he say anything when you dropped him off ?
He says a lot of shit . Marcus Polo ... Who the fuck knows what he 's talking about ?
You ask me , he believes you fellas are on the outs .
Based on what ?
Nothing . I don 't know . My opinion .
I don 't like this , Charlie .
Relax . We 're jake .
How nice you 're so sure .
You had to talk to Thompson , huh ? Down in fucking Havana .
What should I have done ?
Gee , maybe not fucking talk to him ?
He saw me , Benny . Better to face it head-on .
Sticking your nose where it doesn 't belong .
Be a good boy And leave people alone !
Is that too much to ask ?
Hey , fuck you , you fucking screwball !
Enough . As far as Maranzano knows , Meyer took it on himself to ice Thompson .
Who knows what that fucking greaseball thinks ?
I say we move now . Just take him the fuck out .
It 's too soon . We don 't got the support .",Sad,Lonely,Sad,Sad
152,0.9-40887,104107,"Because if death doesn 't kill us ... Our demons will .
Charlotte ... This is for my father .",Sentimental,Sentimental,Caring,Sentimental
153,0.9-39250,99449,Surprised to see me ?,Questioning,Questioning,Questioning,Questioning
154,0.9-190736,489079,"Are you gonna have dinner with us or what ?
JoLynn !
Hey , Grandma . Hey . Let me see your hands .
Oh , Lord , go wash those mud mitts right now .
No , no , no , not there . I 'm preparing food .
Go to the bathroom . And don 't touch anything !
Fingernails too .
Is your mom giving you your eye medicine ?
Yeah , twice a day .
Straighten .
Oh , go on . Hey , Grandpa , will you tell me the story about the sea monster in the lake ?
Okay . We were dropping anchor , and this green ensign- Now , when I say green , I mean greener than a bullfrog 's nipple , greener than them beans right there , okay ?
Has no idea what he 's doing . He 's letting that chain run out into the ocean , and that chain has links on it that are this big . So before we know it , that guy is ripped clean off the deck , and the only thing sitting there is a severed leg and a trail of blood leading straight overboard .
Whoa . Have we heard enough ?
No , Grandma , this is the best part . Now , you eat those vegetables , and I 'll continue . So now I have to dive in to try to retrieve the body . I mean , for proper burial , right ? How did you know he was dead ?
'Cause I had to swim through a cloud of blood and sharks .
Did the sharks eat him ?
Probably . I don 't know 'cause I never found the body . It was too dangerous , so I just froze and watched . And all of a sudden , up from below came something . I swear I don 't know what it was , but it had these big tentacles that came down and wrapped themselves around this full-grown tiger shark like it was a little bitty football .",Terrified,Terrified,Terrified,Terrified
155,0.9-49737,127744,"What will you do to me ?
I 've asked for help , I 've brought a professional .",Trusting,Trusting,Responding (Other),Trusting
156,0.9-59728,152751,"Yes , that 's correct .",Agreeing,Agreeing,Acknowledging,Agreeing
157,0.9-14895,38341,"I 'll not sign in anything at all .
Achu you have changed a lot !",Acknowledging,Acknowledging,Acknowledging,Acknowledging
158,0.9-57150,146472,"Hiruma-kun , you seem to be in an unfavorable position for the division chief race .
I 'm sorry for making you worry , but we 'll rally , you can be sure of that . We 're passing out a little gift to you all for attending this dinner meeting . Please accept it .
An election must be fair .
You shouldn 't be doing this .
I certainly hope you like it .",Encouraging,Encouraging,Consoling,Encouraging
159,0.9-63750,163010,"Sure is hot out here .
Stand proud !
Wear your courage like a badge of honor .
I salute you .
God Bless !
No , no ! Calm down . Stay calm . This is just an aftershock .
It will pass !",Consoling,Consoling,Encouraging,Consoling
160,0.9-15708,40529,"Yolanda , sorry I don 't have money now .",Sympathizing,Caring,Sympathizing,Sympathizing
161,0.9-60969,155977,"Here , I thought you could use this .",Suggesting,Suggesting,Suggesting,Suggesting
162,0.9-28508,71946,What 's in these ?,Questioning,Questioning,Questioning,Questioning
163,0.9-52678,135339,"Hello , Florelle .",-,Questioning,Greeting (Other),Wishing
164,0.9-31697,80239,"Where is my wife ?
Well ... She did have a husband , after all .",-,Agreeing,Neutral,Surprised
165,0.9-609643,1574479,"I heard something . Did you hear something ?
I think someone 's outside .",Afraid,Afraid,Terrified,Afraid
